year,subject,prior_band,n_students
2022,Latin,9>=,218
2022,Latin,Unknown prior,12
2022,Latin,All,1020
2022,Other Classical Languages,5-<6,3
2022,Other Classical Languages,6-<7,3
2022,Other Classical Languages,7-<8,3
2022,Other Classical Languages,8-<9,7
2022,Other Classical Languages,9>=,1
2022,Other Classical Languages,All,17
2022,Music,3-<4,16
2022,Music,4-<5,169
2022,Music,5-<6,498
2022,Music,6-<7,990
2022,Music,7-<8,1121
2022,Music,8-<9,992
2022,Music,9>=,76
2022,Music,Unknown prior,99
2022,Music,All,3961
2022,Music Technology,1-<2,2
2022,Music Technology,2-<3,2
2022,Music Technology,3-<4,22
2022,Music Technology,4-<5,133
2022,Music Technology,5-<6,307
2022,Music Technology,6-<7,391
2022,Music Technology,7-<8,231
2022,Music Technology,8-<9,95
2022,Music Technology,9>=,7
2022,Music Technology,Unknown prior,27
2022,Music Technology,All,1217
2022,Physical Education / Sports Studies,2-<3,1
2022,Physical Education / Sports Studies,3-<4,66
2022,Physical Education / Sports Studies,4-<5,898
2022,Physical Education / Sports Studies,5-<6,3241
2022,Physical Education / Sports Studies,6-<7,4117
2022,Physical Education / Sports Studies,7-<8,2542
2022,Physical Education / Sports Studies,8-<9,766
2022,Physical Education / Sports Studies,9>=,42
2022,Physical Education / Sports Studies,Unknown prior,155
2022,Physical Education / Sports Studies,All,11828
2022,Dance,2-<3,1
2022,Dance,3-<4,21
2022,Dance,4-<5,141
2022,Dance,5-<6,313
2022,Dance,6-<7,358
2022,Dance,7-<8,214
2022,Dance,8-<9,73
2022,Dance,9>=,2
2022,Dance,Unknown prior,11
2022,Dance,All,1134
2022,Accounting / Finance,2-<3,1
2022,Accounting / Finance,3-<4,29
2022,Accounting / Finance,4-<5,267
2022,Accounting / Finance,5-<6,695
2022,Accounting / Finance,6-<7,689
2022,Accounting / Finance,7-<8,356
2022,Accounting / Finance,8-<9,92
2022,Accounting / Finance,9>=,2
2022,Accounting / Finance,Unknown prior,35
2022,Accounting / Finance,All,2166
2022,Design and Technology (Textiles Technology),3-<4,10
2022,Design and Technology (Textiles Technology),4-<5,54
2022,Design and Technology (Textiles Technology),5-<6,158
2022,Design and Technology (Textiles Technology),6-<7,148
2022,Design and Technology (Textiles Technology),7-<8,106
2022,Design and Technology (Textiles Technology),8-<9,43
2022,Design and Technology (Textiles Technology),9>=,3
2022,Design and Technology (Textiles Technology),Unknown prior,6
2022,Design and Technology (Textiles Technology),All,528
2022,Design and Technology (Engineering),3-<4,6
2022,Design and Technology (Engineering),4-<5,63
2022,Design and Technology (Engineering),5-<6,149
2022,Design and Technology (Engineering),6-<7,156
2022,Design and Technology (Engineering),7-<8,104
2022,Design and Technology (Engineering),8-<9,62
2022,Design and Technology (Engineering),9>=,12
2022,Design and Technology (Engineering),Unknown prior,4
2022,Design and Technology (Engineering),All,556
2022,Design and Technology (Product Design),<1,1
2022,Design and Technology (Product Design),1-<2,1
2022,Design and Technology (Product Design),2-<3,12
2022,Design and Technology (Product Design),3-<4,234
2022,Design and Technology (Product Design),4-<5,1302
2022,Design and Technology (Product Design),5-<6,2467
2022,Design and Technology (Product Design),6-<7,2297
2022,Design and Technology (Product Design),7-<8,1374
2022,Design and Technology (Product Design),8-<9,596
2022,Design and Technology (Product Design),9>=,50
2022,Design and Technology (Product Design),Unknown prior,118
2022,Design and Technology (Product Design),All,8452
2023,Biology,<1,1
2023,Biology,1-<2,1
2023,Biology,2-<3,8
2023,Biology,3-<4,82
2023,Biology,4-<5,1118
2023,Biology,5-<6,6945
2023,Biology,6-<7,16300
2023,Biology,7-<8,19965
2023,Biology,8-<9,17152
2023,Biology,9>=,1980
2023,Biology,Unknown prior,1645
2023,Biology,All,65197
2023,Chemistry,<1,1
2023,Chemistry,1-<2,2
2023,Chemistry,2-<3,5
2023,Chemistry,3-<4,62
2023,Chemistry,4-<5,715
2023,Chemistry,5-<6,4052
2023,Chemistry,6-<7,10666
2023,Chemistry,7-<8,16041
2023,Chemistry,8-<9,17820
2023,Chemistry,9>=,2608
2023,Chemistry,Unknown prior,1759
2023,Chemistry,All,53731
2023,Physics,<1,1
2023,Physics,1-<2,2
2023,Physics,2-<3,1
2023,Physics,3-<4,55
2023,Physics,4-<5,509
2023,Physics,5-<6,3014
2023,Physics,6-<7,7595
2023,Physics,7-<8,9991
2023,Physics,8-<9,10247
2023,Physics,9>=,1377
2023,Physics,Unknown prior,1360
2023,Physics,All,34152
2023,Electronics,3-<4,2
2023,Electronics,4-<5,42
2023,Electronics,5-<6,135
2023,Electronics,6-<7,158
2023,Electronics,7-<8,105
2023,Electronics,8-<9,83
2023,Electronics,9>=,8
2023,Electronics,Unknown prior,11
2023,Electronics,All,544
2023,Environmental Science,3-<4,7
2023,Environmental Science,4-<5,137
2023,Environmental Science,5-<6,405
2023,Environmental Science,6-<7,520
2023,Environmental Science,7-<8,341
2023,Environmental Science,8-<9,143
2023,Environmental Science,9>=,3
2023,Environmental Science,Unknown prior,29
2023,Environmental Science,All,1585
2023,Geology,2-<3,1
2023,Geology,3-<4,4
2023,Geology,4-<5,65
2023,Geology,5-<6,181
2023,Geology,6-<7,261
2023,Geology,7-<8,228
2023,Geology,8-<9,112
2023,Geology,9>=,10
2023,Geology,Unknown prior,14
2023,Geology,All,876
2023,Mathematics,<1,1
2023,Mathematics,1-<2,3
2023,Mathematics,2-<3,6
2023,Mathematics,3-<4,136
2023,Mathematics,4-<5,1259
2023,Mathematics,5-<6,7040
2023,Mathematics,6-<7,17723
2023,Mathematics,7-<8,25148
2023,Mathematics,8-<9,26384
2023,Mathematics,9>=,3948
2023,Mathematics,Unknown prior,3297
2023,Mathematics,All,84945
